Month,Day,Year,DOY,Temperature
3,12,2021,71,7.825
3,13,2021,72,13.675
3,14,2021,73,9.595833
3,15,2021,74,9.308333
3,16,2021,75,0.895833
3,17,2021,76,3.508333
3,18,2021,77,4
3,19,2021,78,2.641667
3,20,2021,79,4.304167
3,21,2021,80,4.470833
3,22,2021,81,3.154167
3,23,2021,82,0.254167
3,24,2021,83,0.341667
3,25,2021,84,4.520833
3,26,2021,85,7.525
3,27,2021,86,9.079167
3,28,2021,87,8.575
3,29,2021,88,8.216667
3,30,2021,89,5.925
3,31,2021,90,2.745833
4,1,2021,91,9.420833
4,2,2021,92,8.820833
4,3,2021,93,7.820833
4,4,2021,94,11.6
4,5,2021,95,12.075
4,6,2021,96,7.35
4,7,2021,97,0.879167
4,8,2021,98,3.083333
4,9,2021,99,8.3625
4,10,2021,100,9.579167
4,11,2021,101,8.595833
4,12,2021,102,5.095833
4,13,2021,103,6.441667
4,14,2021,104,7.7625
4,15,2021,105,6.0125
4,16,2021,106,11.016667
4,17,2021,107,10.879167
4,18,2021,108,12.208333
4,19,2021,109,11.3
4,20,2021,110,13.6125
4,21,2021,111,4.716667
4,22,2021,112,8.7375
4,23,2021,113,8.8
4,24,2021,114,8.85
4,25,2021,115,11.675
4,26,2021,116,14.766667
4,27,2021,117,15.854167
4,28,2021,118,16.3125
4,29,2021,119,16.341667
4,30,2021,120,15.454167
5,1,2021,121,19.683333
5,2,2021,122,17.079167
5,3,2021,123,13.404167
5,4,2021,124,12.433333
5,5,2021,125,8.433333
5,6,2021,126,14.004167
5,7,2021,127,14.775
5,8,2021,128,15.304167
5,9,2021,129,17.9125
5,10,2021,130,18.454167
5,11,2021,131,18.9
5,12,2021,132,18.979167
5,13,2021,133,19.341667
5,14,2021,134,15.554167
5,15,2021,135,12.725
5,16,2021,136,14.3125
5,17,2021,137,16.225
5,18,2021,138,14.895833
5,19,2021,139,15.225
5,20,2021,140,13.904167
5,21,2021,141,12.658333
5,22,2021,142,11.15
5,23,2021,143,12.3875
5,24,2021,144,11.45
5,25,2021,145,13.420833
5,26,2021,146,13.9625
5,27,2021,147,17.725
5,28,2021,148,17.604167
5,29,2021,149,18.3375
5,30,2021,150,20.391667
5,31,2021,151,17.904167
6,1,2021,152,15.6125
6,2,2021,153,15.583333
6,3,2021,154,15.083333
6,4,2021,155,18.041667
6,5,2021,156,15.458333
6,6,2021,157,16.625
6,7,2021,158,18.25
6,8,2021,159,18.583333
6,9,2021,160,18.5
6,10,2021,161,18.375
6,11,2021,162,19.166667
6,12,2021,163,20.416667
6,13,2021,164,20.416667
6,14,2021,165,19.875
6,15,2021,166,19.375
6,16,2021,167,21.5
6,17,2021,168,21.458333
6,18,2021,169,20.75
6,19,2021,170,19.833333
6,20,2021,171,20.020833
6,21,2021,172,21.125
6,22,2021,173,20.416667
6,23,2021,174,20.854167
6,24,2021,175,21.791667
6,25,2021,176,23.6875
6,26,2021,177,23.708333
6,27,2021,178,22.666667
6,28,2021,179,23.75
6,29,2021,180,22.416667
6,30,2021,181,22.383333
7,1,2021,182,21.508333
7,2,2021,183,17.5125
7,3,2021,184,19.008333
7,4,2021,185,21.320833
7,5,2021,186,22.391667
7,6,2021,187,21.654167
7,7,2021,188,23.566667
7,8,2021,189,23.816667
7,9,2021,190,24.879167
7,10,2021,191,25.129167
7,11,2021,192,23.979167
7,12,2021,193,23.916667
7,13,2021,194,25.345833
7,14,2021,195,24.8375
7,15,2021,196,24.7
7,16,2021,197,26.008333
7,17,2021,198,24.433333
7,18,2021,199,25.1
7,19,2021,200,23.495833
7,20,2021,201,24.658333
7,21,2021,202,24.0375
7,22,2021,203,23.354167
7,23,2021,204,24.4625
7,24,2021,205,24.108333
7,25,2021,206,24.983333
7,26,2021,207,25.883333
7,27,2021,208,24.083333
7,28,2021,209,25.2875
7,29,2021,210,25.4125
7,30,2021,211,24.941667
7,31,2021,212,24.579167
8,1,2021,213,25.895833
8,2,2021,214,26.591667
8,3,2021,215,25.529167
8,4,2021,216,24.391667
8,5,2021,217,24.15
8,6,2021,218,23.95
8,7,2021,219,24.9125
8,8,2021,220,25.441667
8,9,2021,221,24.925
8,10,2021,222,24.495833
8,11,2021,223,24.85
8,12,2021,224,24.229167
8,13,2021,225,24.0375
8,14,2021,226,23.825
8,15,2021,227,23.475
8,16,2021,228,24.225
8,17,2021,229,22.8
8,18,2021,230,18.258333
8,19,2021,231,18.258333
8,20,2021,232,21.191667
8,21,2021,233,21.8125
8,22,2021,234,22.920833
8,23,2021,235,23.1
8,24,2021,236,19.883333
8,25,2021,237,19.583333
8,26,2021,238,21.120833
8,27,2021,239,22.158333
8,28,2021,240,22.991667
8,29,2021,241,23.7375
8,30,2021,242,24.258333
8,31,2021,243,24.041667
9,1,2021,244,21.175
9,2,2021,245,22.070833
9,3,2021,246,23.054167
9,4,2021,247,22.379167
9,5,2021,248,22.208333
9,6,2021,249,20.675
9,7,2021,250,20.420833
9,8,2021,251,21.854167
9,9,2021,252,22.366667
9,10,2021,253,21.820833
9,11,2021,254,21.179167
9,12,2021,255,18.883333
9,13,2021,256,18.279167
9,14,2021,257,19.816667
9,15,2021,258,19.6625
9,16,2021,259,19.341667
9,17,2021,260,18.5125
9,18,2021,261,20.35
9,19,2021,262,20.091667
9,20,2021,263,18.229167
9,21,2021,264,16.383333
9,22,2021,265,21.191667
9,23,2021,266,21.508333
9,24,2021,267,17.754167
9,25,2021,268,14.370833
9,26,2021,269,12.4375
9,27,2021,270,12.0375
9,28,2021,271,14.291667
9,29,2021,272,16.245833
9,30,2021,273,17.408333
10,1,2021,274,17.895833
10,2,2021,275,14.845833
10,3,2021,276,16.879167
10,4,2021,277,15.679167
10,5,2021,278,15.75
10,6,2021,279,16.004167
10,7,2021,280,15.3625
10,8,2021,281,13.1625
10,9,2021,282,8.591667
10,10,2021,283,10.7625
10,11,2021,284,15.6
10,12,2021,285,14.883333
10,13,2021,286,14.829167
10,14,2021,287,14.429167
10,15,2021,288,13.891667
10,16,2021,289,13.7625
10,17,2021,290,13.783333
10,18,2021,291,12.0125
10,19,2021,292,13.4875
10,20,2021,293,15.3375
10,21,2021,294,14.083333
10,22,2021,295,12.629167
10,23,2021,296,16.625
10,24,2021,297,15.395833
10,25,2021,298,8.604167
10,26,2021,299,6.9875
10,27,2021,300,8.7
10,28,2021,301,11.104167
10,29,2021,302,12.045833
10,30,2021,303,10.079167
10,31,2021,304,11.8625
11,1,2021,305,9.441667
11,2,2021,306,8.054167
11,3,2021,307,7.583333
11,4,2021,308,9.758333
11,5,2021,309,4.629167
11,6,2021,310,6.725
11,7,2021,311,9.333333
11,8,2021,312,10.333333
11,9,2021,313,12.979167
11,10,2021,314,15.770833
11,11,2021,315,18.6875
11,12,2021,316,18.395833
11,13,2021,317,15.708333
11,14,2021,318,13.875
11,15,2021,319,14.333333
11,16,2021,320,11.416667
11,17,2021,321,-0.416667
11,18,2021,322,0.625
11,19,2021,323,-1.583333
11,20,2021,324,2.325
11,21,2021,325,5.683333
11,22,2021,326,8.820833
11,23,2021,327,9.629167
11,24,2021,328,9.629167
11,25,2021,329,16.1875
11,26,2021,330,11.416667
11,27,2021,331,9.720833
11,28,2021,332,14.654167
11,29,2021,333,8.125
11,30,2021,334,6.816667
12,1,2021,335,-8.6375
12,2,2021,336,-9.895833
12,3,2021,337,-5.483333
12,4,2021,338,-3.441667
12,5,2021,339,0.0125
12,6,2021,340,3.633333
12,7,2021,341,5.258333
12,8,2021,342,11.875
12,9,2021,343,6.929167
12,10,2021,344,7.95
12,11,2021,345,-0.0625
12,12,2021,346,1.4375
12,13,2021,347,6.8625
12,14,2021,348,4.166667
12,15,2021,349,2.0625
12,16,2021,350,2.5125
12,17,2021,351,5.25
12,18,2021,352,0.204167
12,19,2021,353,2.575
12,20,2021,354,4.183333
12,21,2021,355,2.666667
12,22,2021,356,-0.604167
12,23,2021,357,-1.8125
12,24,2021,358,2.833333
12,25,2021,359,3.291667
12,26,2021,360,-8.191667
12,27,2021,361,-3.420833
12,28,2021,362,3.716667
12,29,2021,363,5.25
12,30,2021,364,9.516667
12,31,2021,365,9.641667
